Feature,Classifier,Accuracy,Balanced Accuracy score,F1 micro score,F1 macro score,F1 weighted score,MAE,Confusion matrix
corpus_2018_unweighted_lvl_three_256D,LogisticRegression CV = 5,0.7164319248826291,0.6300950008986059,0.7164319248826291,0.6528132866711271,0.7023592400948672,0.307981220657277,"[[70, 98, 22], [27, 489, 46], [4, 105, 204]]"
corpus_2018_unweighted_lvl_three_256D,LogisticRegression CV = 10,0.7107981220657277,0.6158306240514022,0.7107981220657277,0.6381025664964571,0.693166084031905,0.3136150234741784,"[[62, 106, 22], [23, 494, 45], [4, 108, 201]]"
corpus_2018_unweighted_lvl_three_256D,GradientBoostingClassifier,0.6957746478873239,0.6028202263529505,0.6957746478873239,0.6185861994890712,0.679259741778129,0.3483568075117371,"[[61, 98, 31], [27, 484, 51], [16, 101, 196]]"
corpus_2018_unweighted_lvl_three_256D,SVC ovo,0.7145539906103286,0.6153720457955913,0.7145539906103286,0.6390460259529602,0.6952934129513496,0.3154929577464789,"[[62, 103, 25], [15, 504, 43], [7, 111, 195]]"
corpus_2018_weighted_lvl_one_128D,LogisticRegression CV = 5,0.676056338028169,0.5802384287780495,0.676056338028169,0.600351867320418,0.6576206052331085,0.3539906103286385,"[[60, 111, 19], [24, 483, 55], [13, 123, 177]]"
corpus_2018_weighted_lvl_one_128D,LogisticRegression CV = 10,0.6751173708920187,0.5843270558577837,0.6751173708920187,0.6033724559859914,0.6586048856765723,0.3568075117370892,"[[62, 107, 21], [25, 475, 62], [13, 118, 182]]"
corpus_2018_weighted_lvl_one_128D,GradientBoostingClassifier,0.6901408450704225,0.5873579010799428,0.6901408450704225,0.6026073957822088,0.6696578955351614,0.35492957746478876,"[[54, 105, 31], [26, 493, 43], [17, 108, 188]]"
corpus_2018_weighted_lvl_one_128D,SVC ovo,0.6995305164319249,0.5860672396600975,0.6995305164319249,0.6047937232208872,0.6731417571523018,0.3352112676056338,"[[49, 114, 27], [13, 511, 38], [10, 118, 185]]"
corpus_2018_weighted_lvl_one_64D,LogisticRegression CV = 5,0.6732394366197183,0.5780972732446217,0.6732394366197183,0.5931278062294963,0.6549268271991546,0.3596244131455399,"[[54, 112, 24], [31, 472, 59], [11, 111, 191]]"
corpus_2018_weighted_lvl_one_64D,LogisticRegression CV = 10,0.6816901408450704,0.5817655601945297,0.6816901408450704,0.6013025589968192,0.6618049528996601,0.3427230046948357,"[[55, 117, 18], [28, 486, 48], [8, 120, 185]]"
corpus_2018_weighted_lvl_one_64D,GradientBoostingClassifier,0.6657276995305165,0.574513580917719,0.6657276995305165,0.5874275029791947,0.6490193268100055,0.37370892018779345,"[[55, 107, 28], [33, 463, 66], [14, 108, 191]]"
corpus_2018_weighted_lvl_one_64D,SVC ovo,0.7089201877934272,0.5941033897490305,0.7089201877934272,0.6178053175908039,0.6821471543768808,0.3126760563380282,"[[50, 120, 20], [10, 518, 34], [3, 123, 187]]"
corpus_2018_weighted_lvl_three_128D,LogisticRegression CV = 5,0.6769953051643193,0.572595151996052,0.6769953051643193,0.5849341555524011,0.6531311350806773,0.3615023474178404,"[[46, 109, 35], [21, 481, 60], [6, 113, 194]]"
corpus_2018_weighted_lvl_three_128D,LogisticRegression CV = 10,0.676056338028169,0.5638731691028761,0.676056338028169,0.5730025111572697,0.6469182320184232,0.36338028169014086,"[[39, 114, 37], [12, 487, 63], [5, 114, 194]]"
corpus_2018_weighted_lvl_three_128D,GradientBoostingClassifier,0.676056338028169,0.5870251276549018,0.676056338028169,0.6046447331473762,0.6601662140989071,0.36901408450704226,"[[63, 89, 38], [23, 473, 66], [10, 119, 184]]"
corpus_2018_weighted_lvl_three_128D,SVC ovo,0.7136150234741784,0.6146347102050717,0.7136150234741784,0.6329617164393473,0.6933058173714594,0.3276995305164319,"[[57, 94, 39], [12, 496, 54], [5, 101, 207]]"
corpus_2018_weighted_lvl_three_256D,LogisticRegression CV = 5,0.6854460093896714,0.5980023820537325,0.6854460093896714,0.6093281431356378,0.6697984703773667,0.3643192488262911,"[[58, 92, 40], [25, 465, 72], [13, 93, 207]]"
corpus_2018_weighted_lvl_three_256D,LogisticRegression CV = 10,0.6901408450704225,0.6055763634524899,0.6901408450704225,0.6195958265552394,0.6762118761250132,0.35774647887323946,"[[64, 91, 35], [24, 469, 69], [16, 95, 202]]"
corpus_2018_weighted_lvl_three_256D,GradientBoostingClassifier,0.6892018779342723,0.604002875538989,0.6892018779342723,0.6194956300977418,0.6755624270361129,0.3539906103286385,"[[66, 92, 32], [33, 473, 56], [14, 104, 195]]"
corpus_2018_weighted_lvl_three_256D,SVC ovo,0.7089201877934272,0.612830377308774,0.7089201877934272,0.6312591084327156,0.689779872281356,0.3267605633802817,"[[58, 99, 33], [16, 490, 56], [5, 101, 207]]"
